expo,table,project,sponsors,link,category,special,,,,,,,,,,,,
1,1,Like A Girl,"WiCS “breaking the glass ceiling”, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77418-like-a-girl,"html, css, javascript, react",https://github.com/adamtahoun/like-a-girl,,,,,,,,,,,,
1,2,Alexa's Past Lover,,http://shellhacks-2017.devpost.com/submissions/77419-alexa-s-past-lover,"pocket-sphinx, matrix-creator, and-mostly-in-cpp-and-c-and-some-python, sexiness",,,,,,,,,,,,,
1,3,DataPool,"Amazon Web Services - Best Use of AWS, Best Domain Name Registered from Domain.com, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77421-datapool,"steam-vr, python, amazon-web-services, flask, docker",https://github.com/data-pool,,,,,,,,,,,,
1,4,Mic Drop,,http://shellhacks-2017.devpost.com/submissions/77422-mic-drop,"java, android, android-studio",https://github.com/ItsMig009/MicDrop,,,,,,,,,,,,
1,5,Pocket Park,The ShellHack,http://shellhacks-2017.devpost.com/submissions/77425-pocket-park,"react, javascript, redux, node.js, express.js, mongodb, mongoose",,,,,,,,,,,,,
1,6,Shooty McShoot-Face,"Best Domain Name Registered from Domain.com, Microsoft Azure: Best use to promote inclusiveness, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77440-shooty-mcshoot-face,"opencv, python, cpp, arduino, raspberry-pi, hardware, motors, glue, craft-supplies, love",http://www.robotshooterboi.com,,,,,,,,,,,,
1,7,esp8266-server,GE: Best IoT solution using their I0T Board,http://shellhacks-2017.devpost.com/submissions/77442-esp8266-server,"nodemcu, arduino",,,,,,,,,,,,,
1,8,Rent-A-Plug,,http://shellhacks-2017.devpost.com/submissions/77443-rent-a-plug,"solidity, javascript, html",https://github.com/odeng419/teamblockbros,,,,,,,,,,,,
1,9,Fernweh (Wanderlust) ,The ShellHack,http://shellhacks-2017.devpost.com/submissions/77458-fernweh-wanderlust,android-studio,,,,,,,,,,,,,
1,10,Evacuate.now,,http://shellhacks-2017.devpost.com/submissions/77464-evacuate-now,"html5, css, javascript, google-maps",https://github.com/jfreedman0212/evacuate-now,,,,,,,,,,,,
1,11,B0SSLAD1ES,"Best Domain Name Registered from Domain.com, WiCS “breaking the glass ceiling”",http://shellhacks-2017.devpost.com/submissions/77465-b0sslad1es,"meteor.js, coffeescript, bootstrap, javascript, html, css",https://github.com/shurt012/ShellHackChallenge,,,,,,,,,,,,
1,12,Reach&Relief,,http://shellhacks-2017.devpost.com/submissions/77470-reach-relief,"html5, css3, javascript, swift, ios, api",https://github.com/ReachAndRelief/ReachAndRelief,,,,,,,,,,,,lvarg046
1,13,Showertime,"Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77471-showertime,"objective-c, swift",https://github.com/mtaylor76/MusicLimit,,,,,,,,,,,,cange017
1,14,MATRIX Creator Unity VR,"Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77472-matrix-creator-unity-vr,"node.js, matrix-creator, raspberry-pi, c#, unity, samsung-gear",,,,,,,,,,,,,
1,15,Torkoal's Journey,Torkoal’s Favorite,http://shellhacks-2017.devpost.com/submissions/77476-torkoal-s-journey,"unity, c#, photoshop, visual-studio, gitlab, github",https://github.com/KaylingW/Torkoal,,,,,,,,,,,,amona010
1,16,Burglar Alarm,,http://shellhacks-2017.devpost.com/submissions/77478-burglar-alarm,"java, opencv",http://github.com/samueljmorris/burglaralarm,,,,,,,,,,,,
1,17,Environmental Awareness Hide and Seek,,http://shellhacks-2017.devpost.com/submissions/77480-environmental-awareness-hide-and-seek,"c#, oculus-gear-vr, unity",https://github.com/Rafael-Leal/Shellhacks2017,,,,,,,,,,,,
1,18,Spotify Playlist Merger,,http://shellhacks-2017.devpost.com/submissions/77483-spotify-playlist-merger,"javascript, node.js, html5, css3",https://github.com/Dneel004/SpotifyPlaylistMerge,,,,,,,,,,,,
1,19,Rekreate,,http://shellhacks-2017.devpost.com/submissions/77493-rekreate,"opencv, python, atom, github",https://github.com/EdTerry/Rekreate.git,,,,,,,,,,,,
1,20,Have a seat,"WiCS “breaking the glass ceiling”, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77494-have-a-seat,"react, html, css, mongoose, node.js",https://github.com/AdrianSP/ShellHacks-2017,,,,,,,,,,,,
1,21,Jixel,"Best Domain Name Registered from Domain.com, Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77504-jixel,"python, typescript, javascript, flask, angular-2, face-recognition",https://github.com/sdiaoune/ShellHacksProject,,,,,,,,,,,,
1,22,Chilltracks Player,Best IoT Hack Using a Qualcomm Device,http://shellhacks-2017.devpost.com/submissions/77508-chilltracks-player,linux,,,,,,,,,,,,,
1,23,music-advisor,"Amazon Web Services - Best Use of AWS, Best Domain Name Registered from Domain.com, Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77512-music-advisor,"html, javascript, css",https://github.com/david-castaneda/music-advisor,,,,,,,,,,,,
1,24,Social Connect for Spotify,The ShellHack,http://shellhacks-2017.devpost.com/submissions/77513-social-connect-for-spotify,"node.js, express.js, socket.io, pug, sass, mongodb, javascript, jquery, spotify",,,,,,,,,,,,,
1,25,Na'viGator,"Amazon Web Services - Best Use of AWS, Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77514-na-vigator,"alexa, python, google-maps, google-places",https://github.com/sainath09/Na-viGator,,,,,,,,,,,,AshutoshGarg
1,26,SupplySmiles,"Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77515-supplysmiles,"javascript, html5, css3, mongodb, jquery",https://github.com/GuillermoGarrido/shellHacks2017,,,,,,,,,,,,
1,27,Word Counter,,http://shellhacks-2017.devpost.com/submissions/77516-word-counter,python,,,,,,,,,,,,,
1,28,ShellMaps,"Best Domain Name Registered from Domain.com, WiCS “breaking the glass ceiling”, Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77517-shellmaps,"css, html, javascript, python, shell",https://github.com/bentd/ShellMaps,,,,,,,,,,,,kimmychampagne
1,29,Beeutiful Tracking Systems ,"Best IoT Hack Using a Qualcomm Device, GE: Best IoT solution using their I0T Board, Torkoal’s Favorite, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77518-beeutiful-tracking-systems,"node.js, dragonboard-410c, html, css, javascript, linux, rabbitmq, database, express.js, socket.io",,,,,,,,,,,,,
1,30,Once Upon A Tune,,http://shellhacks-2017.devpost.com/submissions/77520-once-upon-a-tune,"react, node.js, python",,,,,,,,,,,,,chingavin
1,31,ShellterMe,"Torkoal’s Favorite, Microsoft Azure: Best use to promote inclusiveness, The ShellHack",http://shellhacks-2017.devpost.com/submissions/77522-shellterme,"azure, php, sql, html, css",http://shellter.me,,,,,,,,,,,,
1,32,Underground Miami,,http://shellhacks-2017.devpost.com/submissions/77524-underground-miami,"php, javascript, css",https://github.com/zoltarTheGreat/UndergroundMiami,,,,,,,,,,,,
1,33,Social-Card,,http://shellhacks-2017.devpost.com/submissions/77525-social-card,"html5, laravel, monaca, mysql, phpmyadmin, vue, javascript, css",https://github.com/Cesar-a-Rojas/Social-Card,,,,,,,,,,,,
1,34,PeerFind,The ShellHack,http://shellhacks-2017.devpost.com/submissions/77537-peerfind,"java, android",,,,,,,,,,,,,
